Item/SKU,Description,Jobber,UPC Code,Gross Weight,Length,Width,Height,ProductFamily ID,Product Family Description
CCLPM1,CUSTOM CARGO LINER FLOORMAT VELOCITEX BLACK,169,7-15928-29789-9,5,20,9,9,1,Custom Floormats
CCLPM2,CUSTOM CARGO LINER FLOORMAT VELOCITEX GRAY,169,7-15928-29790-5,5,20,9,9,1,Custom Floormats
CCLPM3,CUSTOM CARGO LINER FLOORMAT VELOCITEX TAN,169,7-15928-29791-2,5,20,9,9,1,Custom Floormats
CFMAM1,Custom Floormat Class A Set of 2 - Premium Plush nylon Black,79.99,7-15928-19001-5,8,20,9,9,1,Custom Floormats
CFMAM12,Custom Floormat Class A Set of 2 - Premium Plush nylon Beige,79.99,7-15928-19010-7,8,20,9,9,1,Custom Floormats
CFMAM17,Custom Floormat Class A Set of 2 - Premium Plush nylon Oak,79.99,7-15928-29363-1,8,20,9,9,1,Custom Floormats
CFMAM2,Custom Floormat Class A Set of 2 - Premium Plush nylon Charcoal,79.99,7-15928-19002-2,8,20,9,9,1,Custom Floormats
CFMAM3,Custom Floormat Class A Set of 2 - Premium Plush nylon Gray,79.99,7-15928-19003-9,8,20,9,9,1,Custom Floormats
CFMAX17,CUSTOM FLOORMATS 70 OUNCE NYLON CARPET OAK CLASS A SET OF 2,139.99,7-15928-29297-9,12,20,9,9,1,Custom Floormats
CFMBM1,Custom Floormat Class A Set of 4 - Premium Plush nylon Black,119.99,7-15928-19011-4,13,20,9,9,1,Custom Floormats
CFMBM12,Custom Floormat Class A Set of 4 - Premium Plush nylon Beige,119.99,7-15928-19020-6,13,20,9,9,1,Custom Floormats
CFMBM17,Custom Floormat Class A Set of 4 - Premium Plush nylon Oak,119.99,7-15928-29364-8,13,20,9,9,1,Custom Floormats
CFMBM2,Custom Floormat Class A Set of 4 - Premium Plush nylon Charcoal,119.99,7-15928-19012-1,13,20,9,9,1,Custom Floormats
CFMBM3,Custom Floormat Class A Set of 4 - Premium Plush nylon Gray,119.99,7-15928-19013-8,13,20,9,9,1,Custom Floormats
CFMBX17,CUSTOM FLOORMATS 70 OUNCE NYLON CARPET OAK CLASS B SET OF 4,199.99,7-15928-29299-3,20,20,9,9,1,Custom Floormats
CFMCM1,Custom Floormat Class C Rear - Premium Plush Nylon Black,69.99,7-15928-19021-3,7,20,9,9,1,Custom Floormats
CFMCM12,Custom Floormat Class C Rear - Premium Plush Nylon Beige,69.99,7-15928-19030-5,7,20,9,9,1,Custom Floormats
CFMCM17,Custom Floormat Class C Rear - Premium Plush Nylon Oak,69.99,7-15928-29365-5,7,20,9,9,1,Custom Floormats
CFMCM2,Custom Floormat Class C Rear - Premium Plush Nylon Charcoal,69.99,7-15928-19022-0,7,20,9,9,1,Custom Floormats
CFMCM3,Custom Floormat Class C Rear - Premium Plush Nylon Gray,69.99,7-15928-19023-7,7,20,9,9,1,Custom Floormats
CFMCX17,CUSTOM FLOORMATS 70 OUNCE NYLON CARPET OAK CLASS C 1 STRIP REAR,129.99,7-15928-29301-3,11,20,9,9,1,Custom Floormats
CFMDM1,CUSTOM FLOORMATS 40 OUNCE PLUSH NYLON CARPET BLACK CLASS D 2 STRIP REAR,119.99,7-15928-19031-2,14,9,9,20,1,Custom Floormats
