VariantID,Make_Descr,Model_Descr,From_Year,To_Year,Option,Position,Product_Descr,ProductID,Bodytype,SubModel
BK9346,Buick,Enclave,2013,2017,2pc Front w/Metal Grommets (#5),"",CUSTOM FLOORMATS STYLE A,CFMA,"",""
BK9346A1,Buick,Enclave,2013,2017,2pc Front w/Metal Grommets (#5),Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
BK9347,Buick,Enclave,2013,2017,"1 STRIP - SECOND ROW, ONLY FOR VEHICLES WITH 2ND ROW BUCKET SEATS","",CUSTOM FLOORMATS STYLE C,CFMC,"",""
BK9347B2,Buick,Enclave,2013,2017,"2pc Front & 1 Strip - SECOND ROW, ONLY FOR VEHICLES WITH 2ND ROW BUCKET SEATS",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
BK9348,Buick,Enclave,2013,2017,"1 STRIP - SECOND ROW, ONLY FOR VEHICLES WITH 2ND ROW SPLIT BENCH","",CUSTOM FLOORMATS STYLE C,CFMC,"",""
BK9348B3,Buick,Enclave,2013,2017,"2pc Front & 1 Strip - SECOND ROW, ONLY FOR VHEICLES WITH 2ND ROW SPLIT BENCH",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
BK9349,Buick,Enclave,2013,2017,"2 STRIP - SECOND & THIRD ROW, ONLY FOR VEHICLES WITH 2ND ROW BUCKET SEATS","",CUSTOM FLOORMATS STYLE D,CFMD,"",""
BK9349C1,Buick,Enclave,2013,2017,"2 STRIP - SECOND & THIRD ROW, ONLY FOR VEHICLES WITH 2ND ROW BUCKET SEATS",Third Row and Rear,DESIGNER FLOORMAT STYLE C,DFMC,"",""
BK9350,Buick,Enclave,2013,2017,"2 STRIP - SECOND & THIRD ROW, ONLY FOR VEHICLES WITH 2ND ROW SPLIT BENCH","",CUSTOM FLOORMATS STYLE D,CFMD,"",""
BK9350C1,Buick,Enclave,2013,2017,"2 STRIP - SECOND & THIRD ROW, ONLY FOR VEHICLES WITH 2ND ROW SPLIT BENCH",Third Row and Rear,DESIGNER FLOORMAT STYLE C,DFMC,"",""
AC9354,Acura,TLX,2018,2018,"2pcs Front w/Honda Style Turning Knob (2 on driver, 1 on Passenger)","",CUSTOM FLOORMATS STYLE A,CFMA,"",""
AC9354A1,Acura,TLX,2018,2018,"2pcs Front (2 on driver, 1 on Passenger) w/ Plastic Grommets",Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
AC9355,Acura,TLX,2018,2018,"2pcs Front w/Honda Style Turning Knob (2 on driver, 1 on Passenger) & 2pcs Rear","",CUSTOM FLOORMATS STYLE B,CFMB,"",""
AC9355B1,Acura,TLX,2018,2018,"2pcs Front (2 on driver, 1 on Passenger) & 2pcs Rear w/ Plastic Grommets",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
AC9360,Acura,MDX,2018,2018,2PC Front with Honda Style Grommet (Driver & Passenger,"",CUSTOM FLOORMATS STYLE A,CFMA,"",""
AC9360A1,Acura,MDX,2018,2018,2PC Front (Driver & Passenger) w/ Plastic Grommets,Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
AC9361,Acura,MDX,2018,2018,1 Strip Middle Row,"",CUSTOM FLOORMATS STYLE C,CFMC,"",""
AC9361B3,Acura,MDX,2018,2018,"2pcs Front,1 Strip Middle Row",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
AC9362,Acura,MDX,2018,2018,1 Strip Middle Row + 1 Strip Rear Row,"",CUSTOM FLOORMATS STYLE D,CFMD,"",""
AC9362C1,Acura,MDX,2018,2018,"1 Strip Middle Row,1 Strip Rear Row",Third Row and Rear,DESIGNER FLOORMAT STYLE C,DFMC,"",""
AC9373,Acura,RDX,2018,2018,"2pc Front w/Honda Plastic Grommets, 3OT131 & 3OT132","",CUSTOM FLOORMATS STYLE A,CFMA,"",""
AC9373A1,Acura,RDX,2018,2018,"2pc Front w/Honda Plastic Grommets, 3OT131 & 3OT132",Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
AC9374,Acura,RDX,2018,2018,"2pc Front w/Honda Plastic Grommets + 2pc Rear, 3OT131 & 3OT132","",CUSTOM FLOORMATS STYLE B,CFMB,"",""
AC9374B3,Acura,RDX,2018,2018,"2pc Front w/Honda Plastic Grommets + 2pc Rear, 3OT131 & 3OT132",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
AS7108A1,Aston Martin,DB11,2018,2018,2pc Front w/Grommets,Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
AS7109C1,Aston Martin,DB11,2018,2018,1pc Trunk Mat,Third Row and Rear,DESIGNER FLOORMAT STYLE C,DFMC,"",""
AU9283,Audi,Q3,2018,2018,"2pc Front with Plastic Grommets on Driver & Passenger Mat, OT129 & OT130","",CUSTOM FLOORMATS STYLE A,CFMA,"",""
AU9283A1,Audi,Q3,2018,2018,"2pc Front with Plastic Grommet on Driver & Passenger Mat, OT129 & OT130",Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
AU9284,Audi,Q3,2018,2018,"2pc Front & + 2pc Rear, w/ Plastic Grommet on Dr. & Pass. Mat , OT129 & OT130","",CUSTOM FLOORMATS STYLE B,CFMB,"",""
AU9284B1,Audi,Q3,2018,2018,"2pc Front & + 2pc Rear, w/ Plastic Grommet on Dr. & Pass. Mat , OT129 & OT130",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
AU9291,Audi,TT Quattro,2018,2018,2pc Front with grommet for push pin on carpet,"",CUSTOM FLOORMATS STYLE A,CFMA,Coupe,""
AU9291A1,Audi,TT Quattro,2018,2018,2pc Front with grommet for push pin on carpet w/ Plastic grommets,Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
AU9292,Audi,TT Quattro,2018,2018,2pc Front with grommet for push pin on carpet,"",CUSTOM FLOORMATS STYLE A,CFMA,Convertible,""
AU9292A1,Audi,TT Quattro,2018,2018,2pc Front with grommet for push pin on carpet w/ Plastic grommets,Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
AU9301,Audi,A3 Sportback e-tron,2018,2018,2pc Front with grommet for push pin in carpet,"",CUSTOM FLOORMATS STYLE A,CFMA,Hatchback,""
AU9301A1,Audi,A3 Sportback e-tron,2018,2018,2pc Front with grommet for push pin in carpet w/ Plastic Grommets,Front,DESIGNER FLOORMAT STYLE A,DFMA,Hatchback,""
AU9302,Audi,A3 Sportback e-tron,2018,2018,2pc Front with grommet for push pin in carpet,"",CUSTOM FLOORMATS STYLE B,CFMB,Hatchback,""
AU9302B1,Audi,A3 Sportback e-tron,2018,2018,"2pc Front with grommet for push pin in carpet,2 pcs Rear w/ Plastic Grommets",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Hatchback,""
AU9324,Audi,A3,2018,2018,"2pc front w/2 grommets each for Driver & Passenger, No. 91 Style Grommet","",CUSTOM FLOORMATS STYLE A,CFMA,Sedan,""
AU9324A1,Audi,A3,2018,2018,"2pc front for Driver & Passenger, No. 91 Style Grommet w/ Plastic Grommets",Front,DESIGNER FLOORMAT STYLE A,DFMA,Sedan,""
AU9325,Audi,A3,2018,2018,"2pc front w/2 grommets each for Driver & Passenger, No. 91 Style Grommet + 2pc rear","",CUSTOM FLOORMATS STYLE B,CFMB,Sedan,""
AU9325B1,Audi,A3,2018,2018,"2pc front w/2 grommets each for Dr & Pass, No. 91 Style Grommet,2pc rear w/ Plastic Grommets",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BK9321,Buick,Verano,2017,2017,"2pc front w/snap on grommet, 1st Generation","",CUSTOM FLOORMATS STYLE A,CFMA,"",""
BK9321A1,Buick,Verano,2017,2017,"2pc front w/ Plastic grommets, 1st Generation",Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
BK9322,Buick,Verano,2017,2017,"2pc front w/snap on grommet + 2pc rear, 1st Generation","",CUSTOM FLOORMATS STYLE B,CFMB,"",""
BK9322B1,Buick,Verano,2017,2017,"2pc front w/snap on grommet,2pc rear w/ Plastic grommets, 1st Generation",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
BM9393,BMW,320i,2018,2018,"2PC, Does not have grommets, w/soft velcro patch on corner","",CUSTOM FLOORMATS STYLE A,CFMA,Sedan,""
BM9393,BMW,320i xDrive,2018,2018,"2PC, Does not have grommets, w/soft velcro patch on corner","",CUSTOM FLOORMATS STYLE A,CFMA,Sedan,""
BM9393,BMW,328d,2018,2018,"2PC, Does not have grommets, w/soft velcro patch on corner","",CUSTOM FLOORMATS STYLE A,CFMA,Sedan,""
BM9393,BMW,328d xDrive,2018,2018,"2PC, Does not have grommets, w/soft velcro patch on corner","",CUSTOM FLOORMATS STYLE A,CFMA,Sedan,""
BM9393,BMW,330i,2018,2018,"2PC, Does not have grommets, w/soft velcro patch on corner","",CUSTOM FLOORMATS STYLE A,CFMA,Sedan,""
BM9393A1,BMW,320i,2018,2018,"2PC, Does not have grommets, w/soft velcro patch on corner",Front,DESIGNER FLOORMAT STYLE A,DFMA,Sedan,""
BM9393A1,BMW,320i xDrive,2018,2018,"2PC, Does not have grommets, w/soft velcro patch on corner",Front,DESIGNER FLOORMAT STYLE A,DFMA,Sedan,""
BM9393A1,BMW,328d,2018,2018,"2PC, Does not have grommets, w/soft velcro patch on corner",Front,DESIGNER FLOORMAT STYLE A,DFMA,Sedan,""
BM9393A1,BMW,328d xDrive,2018,2018,"2PC, Does not have grommets, w/soft velcro patch on corner",Front,DESIGNER FLOORMAT STYLE A,DFMA,Sedan,""
BM9393A1,BMW,330i,2018,2018,"2PC, Does not have grommets, w/soft velcro patch on corner",Front,DESIGNER FLOORMAT STYLE A,DFMA,Sedan,""
BM9394,BMW,320i,2018,2018,"4PC, Does not have grommets, w/soft velcro patch on corner","",CUSTOM FLOORMATS STYLE B,CFMB,Sedan,""
BM9394,BMW,320i xDrive,2018,2018,"4PC, Does not have grommets, w/soft velcro patch on corner","",CUSTOM FLOORMATS STYLE B,CFMB,Sedan,""
BM9394,BMW,328d,2018,2018,"4PC, Does not have grommets, w/soft velcro patch on corner","",CUSTOM FLOORMATS STYLE B,CFMB,Sedan,""
BM9394,BMW,328d xDrive,2018,2018,"4PC, Does not have grommets, w/soft velcro patch on corner","",CUSTOM FLOORMATS STYLE B,CFMB,Sedan,""
BM9394,BMW,330i,2018,2018,"4PC, Does not have grommets, w/soft velcro patch on corner","",CUSTOM FLOORMATS STYLE B,CFMB,Sedan,""
BM9394B1,BMW,320i,2018,2018,"4PC, Does not have grommets, w/soft velcro patch on corner",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9394B1,BMW,320i xDrive,2018,2018,"4PC, Does not have grommets, w/soft velcro patch on corner",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9394B1,BMW,328d,2018,2018,"4PC, Does not have grommets, w/soft velcro patch on corner",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9394B1,BMW,328d xDrive,2018,2018,"4PC, Does not have grommets, w/soft velcro patch on corner",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9394B1,BMW,330i,2018,2018,"4PC, Does not have grommets, w/soft velcro patch on corner",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9409,BMW,X5,2018,2018,"2pc front w/velcro backing style, no grommets","",CUSTOM FLOORMATS STYLE A,CFMA,"",""
BM9409A1,BMW,X5,2018,2018,"F15, F85, 2pcs front, w/velcro backing style",Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
BM9410,BMW,X5,2018,2018,"2pc front + 2pc rear w/velcro backing style, no grommets","",CUSTOM FLOORMATS STYLE B,CFMB,"",""
BM9410B1,BMW,X5,2018,2018,"F15, F85, 4pcs front & rear, w/velcro backing style",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
BM9423B1,BMW,430i Gran Coupe,2018,2018,"F36 for DINAN, GRAN COUPE, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
BM9423B1,BMW,430i xDrive Gran Coupe,2018,2018,"F36 for DINAN, GRAN COUPE, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
BM9423B1,BMW,440i Gran Coupe,2018,2018,"F36 for DINAN, GRAN COUPE, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
BM9423B1,BMW,440i xDrive Gran Coupe,2018,2018,"F36 for DINAN, GRAN COUPE, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
BM9435B1,BMW,330i,2018,2018,"F34 for DINAN, GRAN TURISMO, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,GRAN TURISMO,""
BM9435B1,BMW,328d,2018,2018,"F34 for DINAN, GRAN TURISMO, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,GRAN TURISMO,""
BM9435B1,BMW,328d xDrive,2018,2018,"F34 for DINAN, GRAN TURISMO, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,GRAN TURISMO,""
BM9435B1,BMW,320i xDrive,2018,2018,"F34 for DINAN, GRAN TURISMO, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,GRAN TURISMO,""
BM9435B1,BMW,320i,2018,2018,"F34 for DINAN, GRAN TURISMO, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,GRAN TURISMO,""
BM9435B1,BMW,340i xDrive,2018,2018,"F34 for DINAN, GRAN TURISMO, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,GRAN TURISMO,""
BM9435B1,BMW,340i,2018,2018,"F34 for DINAN, GRAN TURISMO, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,GRAN TURISMO,""
BM9435B1,BMW,330i GT xDrive,2018,2018,"F34 for DINAN, GRAN TURISMO, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,GRAN TURISMO,""
BM9435B1,BMW,330i xDrive,2018,2018,"F34 for DINAN, GRAN TURISMO, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,GRAN TURISMO,""
BM9435B1,BMW,340i GT xDrive,2018,2018,"F34 for DINAN, GRAN TURISMO, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,GRAN TURISMO,""
BM9436B1,BMW,330i,2018,2018,"F30 for DINAN, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9436B1,BMW,328d,2018,2018,"F30 for DINAN, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9436B1,BMW,328d xDrive,2018,2018,"F30 for DINAN, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9436B1,BMW,320i xDrive,2018,2018,"F30 for DINAN, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9436B1,BMW,320i,2018,2018,"F30 for DINAN, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9436B1,BMW,340i xDrive,2018,2018,"F30 for DINAN, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9436B1,BMW,340i,2018,2018,"F30 for DINAN, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9436B1,BMW,330i GT xDrive,2018,2018,"F30 for DINAN, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9436B1,BMW,330i xDrive,2018,2018,"F30 for DINAN, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9436B1,BMW,340i GT xDrive,2018,2018,"F30 for DINAN, 4pc Front & Rear w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Sedan,""
BM9439B1,BMW,430i,2018,2018,"F33 for DINAN, 4pc Front & Rear, w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Convertible,""
BM9439B1,BMW,430i xDrive,2018,2018,"F33 for DINAN, 4pc Front & Rear, w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Convertible,""
BM9439B1,BMW,440i,2018,2018,"F33 for DINAN, 4pc Front & Rear, w/velcro backing",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,Convertible,""
